,state,county,candidate,won
7924,Maine,Solon,Donald Trump,TRUE
885,Georgia,Heard County,Donald Trump,TRUE
7558,Maine,Webster Plt.,Donald Trump,TRUE
20437,Texas,Runnels County,Donald Trump,TRUE
17734,Pennsylvania,Clearfield County,Donald Trump,TRUE
6988,Maine,Westport,Joe Biden,TRUE
10354,Massachusetts,Spencer,Donald Trump,TRUE
13479,Montana,Madison County,Donald Trump,TRUE
21237,Vermont,Lunenburg,Donald Trump,TRUE
1061,Georgia,Quitman County,Donald Trump,TRUE
11190,Minnesota,Dakota County,Joe Biden,TRUE
