,state,county,candidate,won
7924,Maine,Solon,Donald Trump,True
885,Georgia,Heard County,Donald Trump,True
7558,Maine,Webster Plt.,Donald Trump,True
20437,Texas,Runnels County,Donald Trump,True
17734,Pennsylvania,Clearfield County,Donald Trump,True
6988,Maine,Westport,Joe Biden,True
10354,Massachusetts,Spencer,Donald Trump,True
13479,Montana,Madison County,Donald Trump,True
21237,Vermont,Lunenburg,Donald Trump,True
1061,Georgia,Quitman County,Donald Trump,True
11190,Minnesota,Dakota County,Joe Biden,True
19751,Texas,Childress County,Donald Trump,True
17046,Oklahoma,Canadian County,Donald Trump,True
12610,Mississippi,Walthall County,Donald Trump,True
14235,New Hampshire,Walpole,Joe Biden,True
20157,Texas,Kimble County,Donald Trump,True
27531,Wisconsin,Forest County,Donald Trump,True
25241,Vermont,Danby,Donald Trump,True
15404,New York,Cayuga County,Donald Trump,True
28805,Arkansas,Hempstead County,Donald Trump,True
27657,Wisconsin,Monroe County,Donald Trump,True
26403,Virginia,Bland County,Donald Trump,True
28394,Alaska,ED 2,Donald Trump,True
8332,Maine,Waite,Donald Trump,True
10424,Massachusetts,Worcester,Joe Biden,True
20536,Texas,Throckmorton County,Donald Trump,True
28314,Alaska,ED 20,Joe Biden,True
20072,Texas,Houston County,Donald Trump,True
14879,New Hampshire,Dover,Joe Biden,True
10478,Michigan,Barry County,Donald Trump,True
10139,Massachusetts,Auburn,Joe Biden,True
8440,Maine,Limerick,Donald Trump,True
28078,Alabama,Lamar County,Donald Trump,True
28818,Arkansas,Ashley County,Donald Trump,True
14679,New Hampshire,Hopkinton,Joe Biden,True
5800,Maine,Garfield Plt.,Donald Trump,True
14371,New Hampshire,Canaan,Joe Biden,True
18969,Tennessee,Hardin County,Donald Trump,True
20441,Texas,Rusk County,Donald Trump,True
16883,Ohio,Pike County,Donald Trump,True
22667,Vermont,St. Albans Town,Joe Biden,True
8769,Massachusetts,Clarksburg,Joe Biden,True
13841,Nebraska,Nuckolls County,Donald Trump,True
15086,New Jersey,Middlesex County,Joe Biden,True
20308,Texas,Montgomery County,Donald Trump,True
18502,South Dakota,Hamlin County,Donald Trump,True
28378,Alaska,ED 28, Write-ins,True
3214,Iowa,Lee County,Donald Trump,True
492,Florida,St. Johns County,Donald Trump,True
20200,Texas,Lee County,Donald Trump,True
4248,Kentucky,Green County,Donald Trump,True
22755,Vermont,Sandgate,Joe Biden,True
28266,Alaska,ED 15,Donald Trump,True
12650,Mississippi,Webster County,Donald Trump,True
29847,California,Yuba County,Donald Trump,True
28346,Alaska,ED 24,Donald Trump,True
20532,Texas,Terry County,Donald Trump,True
4840,Louisiana,Caldwell Parish,Donald Trump,True
26275,Vermont,Ira,Joe Biden,True
13347,Missouri,Webster County,Donald Trump,True
6760,Maine,West Gardiner,Donald Trump,True
4008,Kentucky,Ballard County,Donald Trump,True
17932,Rhode Island,Foster,Donald Trump,True
8182,Maine,Danforth,Donald Trump,True
23921,Vermont,West Fairlee,Joe Biden,True
9814,Massachusetts,Wilmington,Joe Biden,True
13079,Missouri,Miller County,Donald Trump,True
13165,Missouri,Phelps County,Donald Trump,True
15962,North Carolina,Gates County,Donald Trump,True
19538,Tennessee,White County,Donald Trump,True
27687,Wisconsin,Pepin County,Donald Trump,True
17730,Pennsylvania,Clarion County,Donald Trump,True
11260,Minnesota,Grant County,Donald Trump,True
965,Georgia,McDuffie County,Donald Trump,True
8909,Massachusetts,Acushnet,Donald Trump,True
3760,Kansas,Grant County,Donald Trump,True
15422,New York,Chenango County,Donald Trump,True
2372,Indiana,Elkhart County,Donald Trump,True
4476,Kentucky,Meade County,Donald Trump,True
14067,New Hampshire,Meredith,Donald Trump,True
1359,Idaho,Caribou County,Donald Trump,True
26439,Virginia,Charlotte County,Donald Trump,True
14519,New Hampshire,Francestown,Joe Biden,True
24097,Vermont,Bradford,Joe Biden,True
31737,Connecticut,Cornwall,Joe Biden,True
8410,Maine,Hollis,Donald Trump,True
8929,Massachusetts,Dighton,Donald Trump,True
28046,Alabama,Franklin County,Donald Trump,True
16723,Ohio,Harrison County,Donald Trump,True
10814,Michigan,Midland County,Donald Trump,True
17719,Pennsylvania,Carbon County,Donald Trump,True
17854,Pennsylvania,Perry County,Donald Trump,True
2424,Indiana,Henry County,Donald Trump,True
14399,New Hampshire,Groton,Donald Trump,True
3846,Kansas,Miami County,Donald Trump,True
9109,Massachusetts,Lynn,Joe Biden,True
8674,Massachusetts,Barnstable,Joe Biden,True
2066,Illinois,Ogle County,Donald Trump,True
6112,Maine,Casco,Donald Trump,True
19658,Texas,Bowie County,Donald Trump,True
26707,Virginia,Surry County,Joe Biden,True
9279,Massachusetts,Leyden,Joe Biden,True
13464,Montana,Lewis and Clark County,Donald Trump,True
7648,Maine,Monson,Donald Trump,True
16573,Ohio,Ashtabula County,Donald Trump,True
7390,Maine,Howland,Donald Trump,True
833,Georgia,Gilmer County,Donald Trump,True
27868,Wyoming,Crook County,Donald Trump,True
9514,Massachusetts,Northampton,Joe Biden,True
19895,Texas,El Paso County,Joe Biden,True
31302,Connecticut,Old Saybrook,Joe Biden,True
