,Year,Make,Model,Fuel Type,City MPG,Highway MPG,Combined MPG,Annual Fuel Cost,Tailpipe CO2
0,2010,Honda,Insight,Regular,40,43,41,850,216.75609759999998
1,2016,Dodge,Ram 1500 Pickup 4WD,Gasoline or E85,14,19,16,2200,555.4375
2,2014,Chevrolet,Silverado C15 2WD,Gasoline or E85,16,23,19,1850,476.0
3,2017,Infiniti,Q70,Premium,16,24,19,2250,464.0
4,2011,Chevrolet,Impala,Gasoline or E85,19,29,23,1500,386.3913043
5,2008,Toyota,Tacoma 2WD,Regular,16,20,18,1950,493.72222220000003
6,2013,Nissan,Sentra,Regular,29,38,33,1050,273.0
7,2017,Land Rover,Range Rover Evoque,Premium,21,29,24,1750,372.0
8,2001,Mercedes-Benz,SLK320,Premium,18,25,21,2000,423.19047620000003
9,2008,Ford,F150 Pickup 4WD FFV,Gasoline or E85,13,17,15,2350,592.4666667
10,2017,BMW,330i,Premium,21,32,25,1700,360.0
11,2014,Volkswagen,Passat,Regular,24,34,28,1250,323.0
12,2012,MINI,Cooper S,Premium,25,33,28,1500,317.39285710000007
13,2013,BMW,M3 Coupe,Premium,14,20,16,2650,552.0
14,2017,Hyundai,Santa Fe Sport FWD,Regular,21,27,24,1450,379.0
15,2016,Ford,Taurus AWD,Regular,16,24,19,1850,473.0
16,2003,Toyota,Prius,Regular,42,41,41,850,216.75609759999998
17,2015,Chevrolet,Camaro,Premium,14,19,16,2650,561.0
18,2012,Dodge,Ram 1500 Pickup 4WD,Gasoline or E85,14,19,16,2200,555.4375
19,2017,Ford,F150 Pickup 4WD FFV,Gasoline or E85,17,23,19,1850,465.0
