,VIN,manufacturer,model,year,id,condition
214929,JHMZE2H54AS011771,honda,Insight,2010,7239908438,good
390991,3C6JR6AG1GG326251,ram,Ram 1500 Pickup 4WD,2016,7229583907,good
83313,1GCNCPEH8EZ140661,chevrolet,Silverado C15 2WD,2014,7240372427,good
366085,JN1BY1AP5KM505761,infiniti,Q70,2017,7240069867,excellent
198832,2G1WB5EK2B1309349,chevrolet,Impala,2011,7237803578,excellent
440190,5TENX22N78Z567470,toyota,Tacoma 2WD,2008,7240708638,good
113490,3N1AB7AP3DL715854,nissan,Sentra,2013,7238141523,excellent
417300,SALVR2BG7HH233431,rover,Range Rover Evoque,2017,7240637235,good
43412,WDBKK49F51F176413,mercedes-benz,SLK320,2001,7238274994,excellent
527,1FTPW14V88FA80682,ford,F150 Pickup 4WD FFV,2008,7236984486,good
279538,WBA8D9G30HNU63277,bmw,330i,2017,7232759010,excellent
7722,1VWCT7A33EC028027,volkswagen,Passat,2014,7232698087,excellent
397726,WMWSV3C56CTY27469,mini,Cooper S,2012,7228330878,excellent
121578,WBSKG9C51DE799269,bmw,M3 Coupe,2013,7237373104,good
357321,5NMZUDLB8JH052736,hyundai,Santa Fe Sport FWD,2017,7236883907,excellent
68257,1FAHP2F87GG114270,ford,Taurus AWD,2016,7231847584,good
109083,JT2BK18U730085870,toyota,Prius,2003,7240579193,salvage
380098,2G1FF1E30F9162588,chevrolet,Camaro,2015,7233731068,excellent
32848,1C6RR6GT9GS240962,ram,Ram 1500 Pickup 4WD,2012,7240634121,good
290979,1FD0X4HT2BEC17021,ford,F150 Pickup 4WD FFV,2017,7228561041,excellent
